,phrase,label,sentiment,subjectivity,language,count
Ukraine,Ukraine,LOC,-0.0023689419646740965,0.04924084225180544,en,7662
Russland,Russland,LOC,-0.034284734469919795,0.05328564896466133,de,5103
Deutschland,Deutschland,LOC,0.02302659875495197,0.08784380305602718,de,2945
Berlin,Berlin,LOC,0.0038969896519285008,0.026309187833176546,de,2126
Kiew,Kiew,LOC,-0.02358411327093833,0.046856251499880014,de,1389
Washington,Washington,LOC,0.0003826140189776552,0.005050505050505051,de,1089
Moskau,Moskau,LOC,-0.06154033041788147,0.043731778425655975,de,1029
USA,USA,LOC,-0.02275862068965517,0.05106234761407175,de-DE,957
Br\u00fcssel,Br\u00fcssel,LOC,0.0,0.0,de,919
\u00fcberall,\u00fcberall,LOC,0.0,0.0,de,919
Russlands,Russlands,LOC,0.018740699404761897,0.03331473214285714,en,896
China,China,LOC,-0.03253787878787879,0.05247474747474747,de,660
London,London,LOC,-0.03063063063063063,0.066988416988417,de,518
Europa,Europa,LOC,-0.0005259697567390211,0.07593688362919132,de,507
Polen,Polen,LOC,0.0675676720804331,0.042923433874709975,de,431
Israel,Israel,LOC,-0.031303972366148555,0.04404145077720207,de,386
Kreml,Kreml,LOC,-0.0667989417989418,0.044708994708994705,de,378
Frankreich,Frankreich,LOC,0.05023408239700372,0.08848314606741572,de,356
Bachmut,Bachmut,LOC,-0.08183632734530939,0.03917165668662674,de,334
Krim,Krim,LOC,-0.045269097222222214,0.031712962962962964,de,288
Belarus,Belarus,LOC,-0.06655092592592592,0.03240740740740741,de,288
Deutschlands,Deutschlands,LOC,0.01582462253193961,0.07259001161440187,de,287
Großbritannien,Großbritannien,LOC,-0.003245942571785266,0.052434456928838954,de,267
Privacy Center,Privacy Center,LOC,0.0,0.0,de,258
Türkei,Türkei,LOC,-0.02714843750000002,0.0556640625,de,256
Staaten,Staaten,LOC,0.03805668016194331,0.15620782726045881,de,247
Brüssel,Brüssel,LOC,-0.016735822959889346,0.04287690179806362,de,241
Cherson,Cherson,LOC,-0.08076923076923076,0.038461538461538464,de,221
US-Präsident,US-Präsident,LOC,0.10874999999999993,0.01574074074074074,de,216
Chinas,Chinas,LOC,0.054460093896713614,0.03990610328638498,de,213
den USA,den USA,LOC,0.04226190476190475,0.10436507936507936,de,210
Bund,Bund,LOC,0.12858333333333327,0.034166666666666665,de,200
S,S,LOC,-0.47228360957642834,0.0055248618784530384,de,181
München,München,LOC,0.029865125240847782,0.046242774566473986,de,173
Iran,Iran,LOC,-0.10476190476190476,0.01488095238095238,de,168
Hamburg,Hamburg,LOC,0.026748971193415648,0.046296296296296294,de,162
Landes,Landes,LOC,-0.0443064182194617,0.07556935817805382,de,161
Nordkorea,Nordkorea,LOC,0.023841059602649012,0.019867549668874173,de,151
Paris,Paris,LOC,0.05782312925170068,0.09863945578231292,de,147
Russen,Russen,LOC,-0.07619863013698629,0.08732876712328767,de,146
Bayern,Bayern,LOC,-0.0710093896713615,0.0880281690140845,de,142
Düsseldorf,Düsseldorf,LOC,0.08098591549295774,0.056338028169014086,de,142
Frankfurt,Frankfurt,LOC,0.0358695652173913,0.00966183574879227,de,138
Stadt,Stadt,LOC,0.01733576642335764,0.08941605839416059,de,137
Odessa,Odessa,LOC,-0.08358208955223881,0.022388059701492536,de,134
E-Mail</li><li,E-Mail</li><li,LOC,0.02189054726368159,0.9283582089552237,de,134
Teilen</li><li,Teilen</li><li,LOC,0.02189054726368159,0.9283582089552237,de,134
Drucken</li><li,Drucken</li><li,LOC,0.02189054726368159,0.9283582089552237,de,134
Europas,Europas,LOC,0.07686567164179105,0.062189054726368154,de,134
Donezk,Donezk,LOC,-0.1263565891472868,0.05426356589147287,de,129
Finnland,Finnland,LOC,-0.05234375,0.03515625,de,128
Kommentare</li><li,Kommentare</li><li,LOC,0.022916666666666665,0.9249999999999998,de,128
Scholz,Scholz,LOC,0.08257452574525745,0.052303523035230344,de,123
Österreich,Österreich,LOC,-0.01951219512195122,0.09349593495934959,de,123
Gaspreisbremse,Gaspreisbremse,LOC,0.01522988505747126,0.08477011494252874,de,116
Ungarn,Ungarn,LOC,-0.08318584070796461,0.030973451327433628,de,113
Schweden,Schweden,LOC,0.026851851851851846,0.009259259259259259,de,108
Italien,Italien,LOC,0.04383177570093459,0.06261682242990654,de,107
Frankreichs,Frankreichs,LOC,-0.08396226415094338,0.04716981132075472,de,106
Schweiz,Schweiz,LOC,-0.0080188679245283,0.14150943396226415,de,106
Dubai,Dubai,LOC,0.013621794871794867,0.04647435897435897,de,104
Peking,Peking,LOC,0.08611111111111112,0.029411764705882353,de,102
Kiews,Kiews,LOC,0.11125429553264603,0.09278350515463918,de,97
Freier,Freier,LOC,0.7000000000000012,0.0,de,96
Moskaus,Moskaus,LOC,-0.13526315789473684,0.05789473684210526,de,95
Wien,Wien,LOC,0.06666666666666667,0.06842105263157895,de,95
Japan,Japan,LOC,0.01063829787234042,0.0425531914893617,de,94
Katar,Katar,LOC,0.015780141843971633,0.06914893617021277,de,94
Charkiw,Charkiw,LOC,-0.07956989247311828,0.016129032258064516,de,93
Syrien,Syrien,LOC,-0.0832437275985663,0.08154121863799284,de,93
Ukraine-Kriegs,Ukraine-Kriegs,LOC,-0.09021739130434783,0.04891304347826087,de,92
Ostsee,Ostsee,LOC,-0.032608695652173905,0.05434782608695652,de,92
Spanien,Spanien,LOC,0.07100000000000002,0.024444444444444446,de,90
Gaza,Gaza,LOC,-0.005871212121212118,0.11742424242424242,de,88
Saporischschja,Saporischschja,LOC,-0.1,0.013409961685823753,de,87
Indien,Indien,LOC,-0.03045977011494252,0.008620689655172414,de,87
Awdijiwka,Awdijiwka,LOC,-0.08433734939759037,0.0783132530120482,de,83
Gazastreifen,Gazastreifen,LOC,-0.019277108433734938,0.060240963855421686,de,83
Dnipro,Dnipro,LOC,-0.11646341463414633,0.06097560975609756,de,82
US-Regierung,US-Regierung,LOC,-0.016666666666666673,0.03497942386831275,de,81
Erde,Erde,LOC,0.053395061728395074,0.12345679012345678,de,81
Ägypten,Ägypten,LOC,-0.08487654320987655,0.07160493827160494,de,81
Sudan,Sudan,LOC,0.00802469135802469,0.08024691358024691,de,81
D,D,LOC,0.013396624472573837,0.024261603375527425,de,79
Strompreisbremse,Strompreisbremse,LOC,0.10632911392405063,0.0379746835443038,de,79
Preisbremsen,Preisbremsen,LOC,0.08961038961038961,0.14285714285714285,de,77
Belgorod,Belgorod,LOC,5.767392335715099e-18,0.01948051948051948,de,77
Norwegen,Norwegen,LOC,0.18815789473684208,0.09605263157894738,de,76
Israels,Israels,LOC,0.08082191780821918,0.00684931506849315,de,73
Estland,Estland,LOC,0.061805555555555544,0.1111111111111111,de,72
Finanzminister,Finanzminister,LOC,0.09600938967136151,0.03286384976525821,de,71
