,phrase,label,sentiment,subjectivity,language,count
…,…,MISC,1.2041666666666668,1.1666666666666665,de,128
"Some of the information stored on your device,","Some of the information stored on your device,",MISC,,,de,81
n-tv,n-tv,MISC,,,de,77
\u00fcberall.,\u00fcberall.,MISC,,,de,77
deutschen,deutschen,MISC,,,de,76
russischen,russischen,MISC,,,de,72
deutsche,deutsche,MISC,,,de-DE,45
russische,russische,MISC,,,de,39
ukrainische,ukrainische,MISC,,,de,38
ukrainischen,ukrainischen,MISC,,,de,35
"When browsing with ads:
We collect personal data and also transmit it to third-party providers
 that help us improve and finance our digital content.","When browsing with ads:
We collect personal data and also transmit it to third-party providers
 that help us improve and finance our digital content.",MISC,,,de,28
russischer,russischer,MISC,,,de,28
"nan When browsing with ads:
We collect personal data and also transmit it to third-party providers
 that help us improve and finance our digital content.","nan When browsing with ads:
We collect personal data and also transmit it to third-party providers
 that help us improve and finance our digital content.",MISC,,,de,27
russisches,russisches,MISC,,,de,24
Ukraine-Krieg,Ukraine-Krieg,MISC,-0.22999999999999998,0.0,de-DE,19
Krieg in der Ukraine,Krieg in der Ukraine,MISC,,,de,18
Gaskrise,Gaskrise,MISC,1.65,0.5,de-DE,16
"nan When browsing with ads:
","nan When browsing with ads:
",MISC,,,de,15
DER SPIEGEL.,DER SPIEGEL.,MISC,,,de,15
europäischen,europäischen,MISC,,,de,14
Deutschen,Deutschen,MISC,,,de,13
Gas-Pipelines Nord Stream 1,Gas-Pipelines Nord Stream 1,MISC,,,de,13
Deutsche,Deutsche,MISC,,,de,13
britische,britische,MISC,,,de,12
Gaspreisbremse.,Gaspreisbremse.,MISC,-0.10000000000000002,0.0,de,11
europäische,europäische,MISC,,,de,11
Berliner,Berliner,MISC,,,de,10
Nord Stream 2,Nord Stream 2,MISC,-0.15000000000000002,0.0,de,10
Liveticker:,Liveticker:,MISC,,,de,9
"When browsing with ads:
","When browsing with ads:
",MISC,,,de,9
russischem,russischem,MISC,,,de,8
Weltklimakonferenz,Weltklimakonferenz,MISC,,,de,8
Hamburger,Hamburger,MISC,,,de-DE,8
Deutschland.,Deutschland.,MISC,0.0,0.1,de,8
Millionen,Millionen,MISC,,,de,8
Liveticker: +++,Liveticker: +++,MISC,,,de,8
deutscher,deutscher,MISC,,,de,8
Ukrainer,Ukrainer,MISC,,,de,8
iranische,iranische,MISC,,,de,7
Ampel-Koalition,Ampel-Koalition,MISC,,,de,6
Gaspreisbremse,Gaspreisbremse,MISC,0.006666666666666665,0.0,de,6
Russen,Russen,MISC,-0.7333333333333334,0.16666666666666666,de,5
Ostsee-Gaspipelines Nord Stream 1,Ostsee-Gaspipelines Nord Stream 1,MISC,,,de,5
Mehr im Liveticker.,Mehr im Liveticker.,MISC,,,de,5
türkische,türkische,MISC,,,de,5
soziale,soziale,MISC,,,de,5
Pandemie,Pandemie,MISC,,,de,5
LNG-Schiffe,LNG-Schiffe,MISC,,,de,5
sächsische,sächsische,MISC,,,de,5
britischen,britischen,MISC,,,de,5
Klima-,Klima-,MISC,,,de,5
Landtagswahl in Niedersachsen,Landtagswahl in Niedersachsen,MISC,,,de,5
CO2-Ausstoß,CO2-Ausstoß,MISC,,,de,5
Zeit,Zeit,MISC,,,de,5
Berliner Senat,Berliner Senat,MISC,,,de,5
Angriffskriegs,Angriffskriegs,MISC,,,de,5
norwegische,norwegische,MISC,,,de,4
Angriff auf die Ukraine,Angriff auf die Ukraine,MISC,,,de,4
Bundeskabinett,Bundeskabinett,MISC,,,de,4
News des,News des,MISC,,,de,4
Gaspipelines Nord Stream 1,Gaspipelines Nord Stream 1,MISC,,,de,4
deutsch-französische,deutsch-französische,MISC,,,de,4
Weihnachtszeit,Weihnachtszeit,MISC,,,de,4
ukrainischem,ukrainischem,MISC,,,de,4
Weltklimakonferenz in,Weltklimakonferenz in,MISC,,,de,4
De…,De…,MISC,,,de,4
Werbeerlösen,Werbeerlösen,MISC,,,de,4
Schwedische,Schwedische,MISC,,,de,4
Tages,Tages,MISC,,,de,4
Winter?,Winter?,MISC,,,de,3
Ukrainekriegs,Ukrainekriegs,MISC,,,de,3
Liveticker: +++ 10:16 London:,Liveticker: +++ 10:16 London:,MISC,,,de,3
Ukraine-Kriegs.,Ukraine-Kriegs.,MISC,,,de,3
Aldi,Aldi,MISC,0.7,0.0,de,3
Krieges,Krieges,MISC,,,de,3
ePaper,ePaper,MISC,,,de,3
griechische,griechische,MISC,,,de,3
Deutscher,Deutscher,MISC,,,de,3
ukrainischer,ukrainischer,MISC,,,de,3
Russische Invasion: Krieg,Russische Invasion: Krieg,MISC,,,de,3
Corona-Pandemie,Corona-Pandemie,MISC,,,de,3
News,News,MISC,,,de,3
DAX,DAX,MISC,,,de,3
Klimakonferenz in Ägypten,Klimakonferenz in Ägypten,MISC,,,de,3
Putins Krieg,Putins Krieg,MISC,,,de,3
AKW-Weiterbetrieb,AKW-Weiterbetrieb,MISC,,,de,3
Internet,Internet,MISC,,,de,3
Russland-Ukraine-Krieg: Das,Russland-Ukraine-Krieg: Das,MISC,,,de,3
Russische,Russische,MISC,,,de,3
CO2-Preis,CO2-Preis,MISC,,,de,3
Aktionen.,Aktionen.,MISC,,,de,3
Ukrainekrieg,Ukrainekrieg,MISC,,,de,3
G-20-Gipfel,G-20-Gipfel,MISC,,,de,3
Kolonialistisch?,Kolonialistisch?,MISC,,,de,3
G7,G7,MISC,,,de,3
Truma Combi D,Truma Combi D,MISC,,,de,3
Nacht.,Nacht.,MISC,,,de,3
niederländisches,niederländisches,MISC,,,de,3
französischen,französischen,MISC,,,de,3
Winter.,Winter.,MISC,0.0,0.0,de,3
Wintershall-Dea-Chef,Wintershall-Dea-Chef,MISC,,,de,3
AKW-Laufzeitverlängerung.,AKW-Laufzeitverlängerung.,MISC,,,de,2
Nord-Stream-Explosionen,Nord-Stream-Explosionen,MISC,,,de,2
Auferstehung,Auferstehung,MISC,,,de,2
Niedersachsen-Wahl,Niedersachsen-Wahl,MISC,,,de,2
Gas-Kommission,Gas-Kommission,MISC,0.0,0.0,de,2
Erdgas-Sparen,Erdgas-Sparen,MISC,,,de,2
News.,News.,MISC,,,de,2
Ukrainern,Ukrainern,MISC,,,de,2
Anschluss,Anschluss,MISC,,,de,2
Frieden mit Russland,Frieden mit Russland,MISC,,,de,2
Der Krieg in der Ukraine,Der Krieg in der Ukraine,MISC,,,de,2
russischen Angriffs,russischen Angriffs,MISC,,,de,2
deutsch-russischen Gas-Pipelines Nord Stream 1,deutsch-russischen Gas-Pipelines Nord Stream 1,MISC,,,de,2
chinesische,chinesische,MISC,,,de,2
Klimaneutral,Klimaneutral,MISC,,,de,2
baden-württembergische,baden-württembergische,MISC,,,de,2
MG4,MG4,MISC,,,de,2
Europas Gasinfrastruktur-Betreibern,Europas Gasinfrastruktur-Betreibern,MISC,,,de,2
chinesischen,chinesischen,MISC,,,de,2
niedersächsischen,niedersächsischen,MISC,,,de,2
Arbeitsmarkt-Studie,Arbeitsmarkt-Studie,MISC,,,de,2
Kleinverbrauchern,Kleinverbrauchern,MISC,,,de,2
Gasmarktes,Gasmarktes,MISC,,,de,2
BILD,BILD,MISC,,,de,2
kommende Jahr,kommende Jahr,MISC,,,de,2
Klimaversprechen,Klimaversprechen,MISC,,,de,2
Getreide-Deal,Getreide-Deal,MISC,,,de,2
