,phrase,label,sentiment,subjectivity,language,count
EU,EU,ORG,-0.0015936254980079597,0.01195219123505976,de,251
Bundestag,Bundestag,ORG,0.022457627118644064,0.03248587570621469,de,118
SPIEGEL,SPIEGEL,ORG,0.6785714285714297,0.0,de,98
E-Paper,E-Paper,ORG,0.7000000000000012,0.0,de,95
SPD,SPD,ORG,0.1114942528735632,0.028735632183908046,de,87
Uniper,Uniper,ORG,-0.05535714285714285,0.05357142857142857,de,56
EU-Kommission,EU-Kommission,ORG,0.03636363636363636,0.0,de,55
FDP,FDP,ORG,0.0534090909090909,0.125,de,44
Grüne,Grüne,ORG,0.029069767441860475,0.10465116279069768,de,43
WELT,WELT,ORG,0.426422764227642,0.036585365853658534,de,41
Gazprom,Gazprom,ORG,0.031250000000000014,0.15,de,40
EZB,EZB,ORG,0.1986842105263158,0.039473684210526314,de,38
EU-Staaten,EU-Staaten,ORG,-0.0013513513513513467,0.10810810810810811,de,37
…,…,ORG,-0.006060606060606066,0.06060606060606061,de,33
CDU,CDU,ORG,-0.06774193548387096,0.012903225806451613,de,31
Nato,Nato,ORG,0.056666666666666664,0.1,de,30
NATO,NATO,ORG,-0.05862068965517241,0.06896551724137931,de,29
FOCUS,FOCUS,ORG,0.09434523809523808,0.125,de,28
Europäischen Union,Europäischen Union,ORG,-0.18076923076923077,0.11538461538461539,de,26
Russland,Russland,ORG,-0.05866666666666665,0.04,de,25
Ukraine,Ukraine,ORG,-0.7916666666666666,0.0,de,24
LNG,LNG,ORG,-0.002083333333333349,0.0,de,24
Bachmut,Bachmut,ORG,-0.05416666666666667,0.041666666666666664,de,24
AKW,AKW,ORG,-0.0608695652173913,0.0,de,23
RWE,RWE,ORG,0.15727272727272726,0.0,de,22
Bundesnetzagentur,Bundesnetzagentur,ORG,0.16666666666666666,0.047619047619047616,de,21
Bundeswehr,Bundeswehr,ORG,-0.21190476190476187,0.047619047619047616,de,21
Kommission,Kommission,ORG,0.155,0.05,de,20
Ukraine:,Ukraine:,ORG,-0.3175,0.0,de,20
EU-Energieminister,EU-Energieminister,ORG,-0.05,0.0,de,20
Die Grünen,Die Grünen,ORG,-0.09444444444444446,0.05555555555555555,de,18
BASF,BASF,ORG,0.17685185185185184,0.0,de,18
IAEA,IAEA,ORG,-0.17777777777777778,0.0,de,18
UN,UN,ORG,-0.039814814814814824,0.018518518518518517,de,18
russische Armee,russische Armee,ORG,-0.04375,0.0625,de,16
Grünen,Grünen,ORG,0.039583333333333325,0.03333333333333333,de,16
UN-Sicherheitsrat,UN-Sicherheitsrat,ORG,0.04666666666666666,0.06666666666666667,de,15
WirtschaftsWoche Online,WirtschaftsWoche Online,ORG,0.6999999999999998,0.0,de,15
AfD,AfD,ORG,-0.04666666666666666,0.0,de,15
russische Militär,russische Militär,ORG,-0.021428571428571432,0.2857142857142857,de,14
Gasimporteur Uniper,Gasimporteur Uniper,ORG,0.0,0.0,de,14
Partei,Partei,ORG,0.3,0.07142857142857142,de,14
Deutschland,Deutschland,ORG,0.049999999999999996,0.07142857142857142,de,14
Europäische Union,Europäische Union,ORG,-0.09999999999999999,0.0,de,14
Ukraine.,Ukraine.,ORG,-0.07692307692307693,0.07692307692307693,de,13
Abgeordneten,Abgeordneten,ORG,-0.02307692307692308,0.0,de,13
Katar,Katar,ORG,0.23846153846153845,0.3076923076923077,de,13
Euroraum,Euroraum,ORG,0.17499999999999996,0.08333333333333333,de,12
ukrainischen Streitkräfte,ukrainischen Streitkräfte,ORG,-0.05000000000000001,0.0,de,12
Gazprom Germania,Gazprom Germania,ORG,0.20833333333333334,0.0,de,12
die Grünen,die Grünen,ORG,0.1909090909090909,0.09090909090909091,de,11
AKW Saporischschja,AKW Saporischschja,ORG,0.022727272727272728,0.0,de,11
Europäische Zentralbank,Europäische Zentralbank,ORG,0.09545454545454544,0.045454545454545456,de,11
ukrainische Armee,ukrainische Armee,ORG,0.10499999999999998,0.0,de,10
DER SPIEGEL.,DER SPIEGEL.,ORG,-0.1,0.0,de,10
Polizei,Polizei,ORG,0.24,0.0,de,10
CSU,CSU,ORG,0.13999999999999999,0.0,de,10
Nord Stream 1,Nord Stream 1,ORG,-0.1111111111111111,0.0,de,9
Verteidigungsministerium,Verteidigungsministerium,ORG,0.15555555555555556,0.0,de,9
Senat,Senat,ORG,0.20555555555555557,0.0,de,9
Vereinten Nationen,Vereinten Nationen,ORG,0.4666666666666667,0.0,de,9
EU-Parlament,EU-Parlament,ORG,0.0,0.0,de,9
Parlament,Parlament,ORG,0.0875,0.0,de,8
we…,we…,ORG,0.0,0.125,de,8
WEB.DE News.,WEB.DE News.,ORG,0.2125,0.0,de,8
EU-Ratspräsident,EU-Ratspräsident,ORG,0.0,0.125,de,8
Union,Union,ORG,0.06874999999999999,0.0,de,8
Kommunen,Kommunen,ORG,0.09166666666666666,0.16666666666666666,de,8
Gaspreisbremse,Gaspreisbremse,ORG,0.0,0.0,de,8
ntv.de,ntv.de,ORG,-0.04999999999999999,0.0,de,8
russischen Streitkräfte,russischen Streitkräfte,ORG,-0.07500000000000001,0.0,de,8
Bundesbank,Bundesbank,ORG,-0.125,0.0,de,8
FDP-Chef,FDP-Chef,ORG,0.2125,0.0,de,8
"Foto: dpa)
Düsseldorf","Foto: dpa)
Düsseldorf",ORG,-0.0875,0.0,de,8
Eurozone,Eurozone,ORG,0.0,0.2857142857142857,de,7
Internationale Energieagentur,Internationale Energieagentur,ORG,-0.042857142857142864,0.0,de,7
RT DE.,RT DE.,ORG,-0.15,0.0,de,7
Militär,Militär,ORG,0.4428571428571428,0.0,de,7
Universität,Universität,ORG,0.14285714285714285,0.0,de,7
VNG,VNG,ORG,0.0,0.0,de,7
Europäischen Zentralbank,Europäischen Zentralbank,ORG,0.42857142857142855,0.0,de,7
Vattenfall,Vattenfall,ORG,0.049999999999999996,0.21428571428571427,de,7
Mercedes-Benz,Mercedes-Benz,ORG,-0.09523809523809523,0.0,de,7
Rheinmetall,Rheinmetall,ORG,0.0,0.0,de,7
Energie-Infrastruktur,Energie-Infrastruktur,ORG,0.0,0.0,de,6
RTL,RTL,ORG,0.05833333333333333,0.25,de,6
VW,VW,ORG,-0.3333333333333333,0.0,de,6
TUI,TUI,ORG,0.21666666666666667,0.0,de,6
OSZE,OSZE,ORG,-0.08333333333333333,0.08333333333333333,de,6
EnBW,EnBW,ORG,0.4666666666666666,0.0,de,6
Mercedes,Mercedes,ORG,0.0,0.0,de,6
EU-Ebene,EU-Ebene,ORG,0.0,0.0,de,6
SPD-Chef,SPD-Chef,ORG,0.11666666666666665,0.0,de,6
GIE,GIE,ORG,0.0,0.0,de,6
E-Autos,E-Autos,ORG,0.10000000000000002,0.0,de,6
Internationale Atomenergiebehörde,Internationale Atomenergiebehörde,ORG,0.0,0.0,de,6
Berliner Morgenpost,Berliner Morgenpost,ORG,-0.11666666666666665,0.0,de-DE,6
Ukraine: ,Ukraine: ,ORG,0.0,0.0,de,6
Liberalen,Liberalen,ORG,0.7000000000000001,0.0,de,6
Armee,Armee,ORG,-0.45,0.16666666666666666,de,6
Bund-Länder-Gipfel,Bund-Länder-Gipfel,ORG,0.0,0.6666666666666666,de,6
Grünen.,Grünen.,ORG,0.6166666666666667,0.0,de,6
Bundeskanzleramt,Bundeskanzleramt,ORG,0.17499999999999996,0.08333333333333333,de,6
Foto: imago,Foto: imago,ORG,0.0,0.0,de,5
SPD-Chef Klingbeil,SPD-Chef Klingbeil,ORG,0.0,0.0,de,5
EU-Länder,EU-Länder,ORG,0.13999999999999999,0.0,de,5
"Foto: dpa)
Berlin","Foto: dpa)
Berlin",ORG,0.0,0.0,de,5
Ifo-Instituts,Ifo-Instituts,ORG,-0.13999999999999999,0.0,de,5
Evangelische Kirche,Evangelische Kirche,ORG,-0.27999999999999997,0.0,de,5
EKD,EKD,ORG,0.4,0.0,de,5
Ukraine-Krieg: Russland,Ukraine-Krieg: Russland,ORG,0.0,0.0,de,5
Notenbank,Notenbank,ORG,0.0,0.2,de,5
Microsoft,Microsoft,ORG,-0.22000000000000003,0.4666666666666666,de,5
NATO-Außenminister,NATO-Außenminister,ORG,0.2,0.0,de,5
ARD,ARD,ORG,0.74,0.0,de,5
"Foto: dpa)
Berlin","Foto: dpa)
Berlin",ORG,0.0,0.0,de,5
IEA,IEA,ORG,-0.06000000000000001,0.0,de,5
Ukraine?,Ukraine?,ORG,0.0,0.0,de,5
Reuters,Reuters,ORG,0.0,0.0,de,5
Internationalen Energieagentur,Internationalen Energieagentur,ORG,-0.54,0.0,de,5
FBI,FBI,ORG,-0.4,0.0,de,5
Japan,Japan,ORG,0.13999999999999999,0.0,de,5
t3n.de,t3n.de,ORG,0.0,0.0,de,5
russische Außenministerium,russische Außenministerium,ORG,0.0,0.0,de,5
COP,COP,ORG,0.0,0.0,de,5
britische Verteidigungsministerium,britische Verteidigungsministerium,ORG,0.0,0.0,de,5
Rekordinflation,Rekordinflation,ORG,0.0,0.0,de,5
NZZ,NZZ,ORG,0.0,0.8,de,5
"Schweiz, International, Sport, Digital, Wirtschaft, Auto &","Schweiz, International, Sport, Digital, Wirtschaft, Auto &",ORG,0.0,0.8,de,5
Gazprom.,Gazprom.,ORG,0.0,0.0,de,5
US-Medien,US-Medien,ORG,0.0,0.0,de,5
Euro-Raum,Euro-Raum,ORG,-0.1,0.1,de,5
IWF,IWF,ORG,-0.07999999999999999,0.0,de,5
Potsdam-Institut für Klimafolgenforschung.,Potsdam-Institut für Klimafolgenforschung.,ORG,0.0,0.0,de,4
Russlands,Russlands,ORG,0.25,0.0,de,4
Taliban,Taliban,ORG,-0.5,0.0,de,4
ADAC,ADAC,ORG,0.425,0.25,de,4
Deutsche Bahn,Deutsche Bahn,ORG,-0.4625,0.0,de,4
"WEB.DE News
</li><li>","WEB.DE News
</li><li>",ORG,-0.15,0.0625,de,4
Gruppe „Letzte Generation“,Gruppe „Letzte Generation“,ORG,0.0,0.0,de,4
Pipeline Nord Stream 1,Pipeline Nord Stream 1,ORG,0.0,0.0,de,4
Europäischen Kommission,Europäischen Kommission,ORG,-0.38749999999999996,0.0,de,4
Bafin,Bafin,ORG,0.0,0.0,de,4
BP,BP,ORG,0.0,0.0,de,4
Klimaschützer,Klimaschützer,ORG,0.75,0.0,de,4
e…,e…,ORG,0.0,0.0,de,4
Evangelische Kirche in Deutschland,Evangelische Kirche in Deutschland,ORG,-0.175,0.0,de,4
Atomkraft:,Atomkraft:,ORG,0.5,0.0,de,4
LSB) Brandenburg,LSB) Brandenburg,ORG,0.0,0.0,de,4
