,phrase,label,sentiment,subjectivity,language,count
…,…,PER,0.10155555555555555,0.04,de,75
Olaf Scholz,Olaf Scholz,PER,0.17613636363636365,0.0,de,44
Scholz,Scholz,PER,0.09242424242424242,0.030303030303030304,de,33
Putin,Putin,PER,-0.04259259259259259,0.037037037037037035,de,27
Lindner,Lindner,PER,-0.08409090909090909,0.11363636363636363,de,22
Putins,Putins,PER,-0.0026315789473684236,0.0,de,19
Robert Habeck,Robert Habeck,PER,0.055263157894736833,0.02631578947368421,de,19
Wladimir Putin,Wladimir Putin,PER,-0.08529411764705884,0.0,de,17
Gaspreisbremse,Gaspreisbremse,PER,0.16470588235294117,0.0,de,17
Christian Lindner,Christian Lindner,PER,0.10416666666666664,0.11458333333333333,de,16
Freier,Freier,PER,0.7,0.0,de,13
Selenskyj,Selenskyj,PER,0.07692307692307693,0.0,de,13
Wolodymyr Selenskyj,Wolodymyr Selenskyj,PER,0.11818181818181818,0.0,de,11
Erdogan,Erdogan,PER,0.41,0.0,de,10
Kretschmer,Kretschmer,PER,0.13999999999999999,0.0,de,10
Habeck,Habeck,PER,-0.1111111111111111,0.1111111111111111,de,9
Michael Kretschmer,Michael Kretschmer,PER,-0.029166666666666664,0.0,de,8
Wirtschaftsminister Habeck,Wirtschaftsminister Habeck,PER,-0.55,0.0,de,8
Leyen,Leyen,PER,0.05714285714285713,0.0,de,7
Liz Truss,Liz Truss,PER,0.021428571428571432,0.0,de,7
Klaus Müller,Klaus Müller,PER,-0.07857142857142856,0.0,de,7
Baerbock,Baerbock,PER,0.05833333333333331,0.0,de,6
Ursula von der Leyen,Ursula von der Leyen,PER,-0.14166666666666666,0.0,de,6
Katrin Göring-Eckardt,Katrin Göring-Eckardt,PER,-0.27,0.1,de,5
Explosionen,Explosionen,PER,-0.16999999999999998,0.0,de,5
Energiesparen,Energiesparen,PER,0.0,0.0,de,5
Preisbremse,Preisbremse,PER,0.48,0.0,de,5
Schäuble,Schäuble,PER,0.0,0.0,de,5
Faeser,Faeser,PER,0.0,0.25,de,4
Mario Mehren,Mario Mehren,PER,0.3791666666666666,0.4583333333333333,de,4
Hauptpreistreiber,Hauptpreistreiber,PER,0.0,0.0,de,4
Gaspreisbremse.,Gaspreisbremse.,PER,0.0,0.5,de,4
Emmanuel Macron,Emmanuel Macron,PER,0.0,0.4,de,4
Wüst,Wüst,PER,-0.7875,0.0,de,4
Joe Biden,Joe Biden,PER,-0.5,0.0,de,4
Gaspreisdeckel,Gaspreisdeckel,PER,0.175,0.0,de,4
Truss,Truss,PER,0.0,0.0,de,4
Macron,Macron,PER,-0.175,0.0,de,4
Hendrik Wüst,Hendrik Wüst,PER,-0.775,0.08333333333333333,de,4
Angela Merkel,Angela Merkel,PER,0.5,0.2,de,4
Biden,Biden,PER,-0.25,0.0,de,4
Steigende,Steigende,PER,-0.6,0.0,de,4
Rolf Mützenich,Rolf Mützenich,PER,0.35,0.0,de,4
Nord-Stream-Pipelines,Nord-Stream-Pipelines,PER,0.037500000000000006,0.0,de,4
Dmitri Peskow,Dmitri Peskow,PER,0.0,0.0,de,3
Wintershall Dea,Wintershall Dea,PER,1.0,0.0,de,3
"Klaus Müller,","Klaus Müller,",PER,0.3333333333333333,0.0,de,3
Greta Thunberg,Greta Thunberg,PER,0.0,0.0,de,3
Norbert Gast,Norbert Gast,PER,0.6666666666666666,0.3333333333333333,de,3
Energielieferant,Energielieferant,PER,0.0,0.0,de,3
"Christine Lagarde,","Christine Lagarde,",PER,1.0,0.0,de,3
Gitta Connemann,Gitta Connemann,PER,-0.3333333333333333,0.0,de,3
Klimaaktivisten,Klimaaktivisten,PER,0.0,0.6666666666666666,de,3
Saskia Esken,Saskia Esken,PER,0.0,0.0,de,3
Kommt,Kommt,PER,0.0,0.0,de,3
Recep,Recep,PER,0.5666666666666667,0.0,de,3
Sergej Schoigu,Sergej Schoigu,PER,0.0,0.0,de,3
Vincent Warnery,Vincent Warnery,PER,0.0,0.0,de,3
Kretschmann,Kretschmann,PER,0.3333333333333333,0.0,de,3
Esken,Esken,PER,-0.2333333333333333,0.3333333333333333,de,3
Magdalena Andersson,Magdalena Andersson,PER,0.05833333333333333,0.0,de,3
Bundespräsident Steinmeier,Bundespräsident Steinmeier,PER,0.0,0.0,de,3
Putins Gas-Erpressung,Putins Gas-Erpressung,PER,0.4666666666666666,0.0,de,3
Merkel,Merkel,PER,0.3333333333333333,0.0,de,3
Bundesinnenministerin Faeser,Bundesinnenministerin Faeser,PER,1.0,0.0,de,2
Ralf Schuler,Ralf Schuler,PER,0.0,0.0,de,2
Wolfgang Schäuble,Wolfgang Schäuble,PER,0.0,0.0,de,2
Angesichts von Entspannungssignalen,Angesichts von Entspannungssignalen,PER,-0.25,0.25,de,2
Christian Baldauf,Christian Baldauf,PER,0.0,0.0,de,2
Wolfgang Schäuble.,Wolfgang Schäuble.,PER,0.7,0.0,de,2
Nie,Nie,PER,0.0,0.0,de,2
Einfach,Einfach,PER,0.7,0.0,de,2
Gaskrise,Gaskrise,PER,0.38,0.0,de,2
Christoph Ploß,Christoph Ploß,PER,0.0,0.0,de,2
Jennifer Morgan,Jennifer Morgan,PER,0.0,0.0,de,2
Reallohnverluste,Reallohnverluste,PER,0.0,0.0,de,2
Bundesnetzagentur,Bundesnetzagentur,PER,0.0,0.0,de,2
Wolodymyr Selenskyj.,Wolodymyr Selenskyj.,PER,0.0,0.0,de,2
Praxisräume,Praxisräume,PER,0.0,0.0,de,2
Rülke,Rülke,PER,-0.35,0.0,de,2
Hans-Ulrich Rülke,Hans-Ulrich Rülke,PER,-0.35,0.0,de,2
BILDplus,BILDplus,PER,-0.0875,0.2,de,2
Katrin Lange,Katrin Lange,PER,0.0,0.0,de,2
Kassenärzte-Chef Gassen,Kassenärzte-Chef Gassen,PER,-0.7,0.0,de,2
Erholungsversuchen,Erholungsversuchen,PER,1.0,0.0,de,2
Michel,Michel,PER,0.0,0.0,de,2
Klingbeil,Klingbeil,PER,0.0,0.0,de,2
Konzerne,Konzerne,PER,0.7,0.0,de,2
Michale Kretschmer,Michale Kretschmer,PER,-0.7,0.0,de,2
Pipeline-Gas,Pipeline-Gas,PER,-0.85,0.0,de,2
Stephan,Stephan,PER,0.0,0.0,de,2
Mané,Mané,PER,0.0,0.0,de,2
Jamal Musiala,Jamal Musiala,PER,0.0,0.0,de,2
Heinz-Glas,Heinz-Glas,PER,0.0,0.0,de,2
Alexandra Sdoukou,Alexandra Sdoukou,PER,0.7,0.0,de,2
