keyword,language,topic,topicColor,keywordColor,limitPages,ratioNew
'Russland',de,Energie,#e81818,#e81818,3,0.3438780661733837
'Klima',de,Krise,#181818,#181818,3,0.3422821365434041
'Wladimir Putin',de,Krieg,#18e818,#18e818,3,0.3250638507888646
'Inflation',de,Krise,#181818,#181818,3,0.291141380937243
'Ukraine',de,Krieg,#18e818,#18e818,3,0.2850765395759729
'Angriff',de,Krieg,#18e818,#18e818,3,0.2835912975977764
'Waffen',de,Krieg,#18e818,#18e818,3,0.2816479581342384
'Kälte',de,Winter,#1818e8,#1818e8,3,0.2604696864615536
'Atomkraft',de,Energie,#e81818,#e81818,3,0.2488597435017242
'Finanz',de,Krise,#181818,#181818,3,0.2402063321772765
'Krise',de,Energie,#e81818,#e81818,3,0.2397338597941432
'Gas',de,Winter,#1818e8,#1818e8,3,0.2375482620511971
'Preis',de,Energie,#e81818,#e81818,3,0.228919527483537
'Flucht',de,Krise,#181818,#181818,3,0.1937305152367129
'Heizen',de,Winter,#1818e8,#1818e8,3,0.1208885980541441
'heizen',de,Winter,#1818e8,#1818e8,3,0.0877454037021541
'frieren',de,Winter,#1818e8,#1818e8,2,0.0612641740063699
'Frieren',de,Winter,#1818e8,#1818e8,2,0.0359666512408721
